Date,Open,High,Low,Close,Adj Close,Volume
2015-03-30,18.620001,18.730000,17.170000,18.000000,15.221277,26264400
2015-04-06,18.240000,19.549999,17.879999,18.420000,15.576445,35204700
2015-04-13,18.400000,19.250000,17.760000,17.799999,15.052156,29397300
2015-04-20,17.860001,23.549999,17.709999,23.200001,20.269054,40177900
2015-04-27,23.350000,24.809999,20.370001,22.650000,19.788538,70558400
2015-05-04,24.100000,27.889999,22.709999,22.750000,19.875904,65812300
2015-05-11,23.260000,23.940001,21.139999,21.280001,18.591616,37036900
2015-05-18,21.209999,21.500000,19.730000,20.260000,17.700476,38629900
2015-05-25,20.110001,21.180000,20.049999,20.049999,17.517004,28088700
2015-06-01,20.070000,21.540001,19.790001,20.600000,17.997520,27471300
2015-06-08,20.530001,21.719999,19.900000,21.160000,18.486771,28835200
2015-06-15,20.879999,21.030001,19.299999,20.320000,17.752893,26890600
2015-06-22,20.500000,20.530001,19.059999,19.620001,17.141329,19168200
2015-06-29,19.180000,19.490000,17.559999,17.680000,15.446415,17104900
2015-07-06,17.450001,18.049999,16.639999,17.110001,14.948427,26119100
2015-07-13,17.400000,18.520000,16.940001,17.450001,15.245474,29199900
2015-07-20,17.450001,18.030001,16.540001,16.790001,14.668855,29365800
2015-07-27,16.750000,19.809999,16.410000,17.870001,15.612414,43828000
2015-08-03,17.809999,19.790001,17.299999,18.420000,16.092930,33411100
2015-08-10,18.549999,19.559999,18.110001,18.200001,15.900723,49581000
2015-08-17,18.100000,18.330000,16.680000,16.700001,14.590223,25552600
2015-08-24,15.140000,18.389999,14.770000,17.309999,15.123158,38497000
2015-08-31,17.020000,19.370001,16.959999,18.240000,15.935666,45783200
2015-09-07,18.240000,20.559999,18.240000,19.450001,16.992804,32086700
2015-09-14,19.320000,20.410000,18.520000,19.910000,17.394691,36728800
2015-09-21,20.010000,20.280001,17.820000,17.930000,15.664836,29223400
2015-09-28,17.700001,17.930000,16.330000,17.820000,15.568727,35096900
2015-10-05,18.100000,20.830000,18.000000,20.790001,18.163517,35692600
2015-10-12,20.790001,20.790001,18.200001,18.420000,16.092930,32753200
2015-10-19,18.410000,19.330000,17.350000,18.600000,16.576662,30090700
2015-10-26,18.549999,18.650000,16.139999,17.059999,15.204187,25420400
2015-11-02,17.059999,18.350000,15.590000,15.670000,13.965393,31243400
2015-11-09,15.640000,15.840000,15.000000,15.370000,13.698028,21079300
2015-11-16,15.380000,15.530000,14.350000,14.640000,13.047439,19697800
2015-11-23,14.340000,14.640000,13.300000,13.300000,11.853205,25304600
2015-11-30,13.040000,13.390000,12.160000,12.350000,11.006548,43974600
2015-12-07,12.350000,12.680000,11.250000,12.210000,10.881777,36624700
2015-12-14,12.180000,13.600000,12.180000,12.890000,11.487805,33855600
2015-12-21,13.010000,13.570000,12.240000,13.220000,11.781908,19794700
2015-12-28,13.000000,13.170000,12.300000,13.030000,11.612576,11212500
2016-01-04,12.490000,12.980000,10.540000,10.540000,9.393443,24920100
2016-01-11,10.500000,10.760000,8.800000,9.370000,8.350716,46811900
2016-01-18,9.310000,9.800000,8.710000,9.030000,8.047703,50693500
2016-01-25,9.030000,9.910000,8.630000,9.720000,8.662643,37785900
2016-02-01,9.630000,10.790000,8.600000,10.230000,9.117166,42194200
2016-02-08,10.230000,10.470000,9.610000,10.250000,9.134988,16824100
2016-02-15,10.680000,12.700000,10.510000,11.830000,10.543115,39383200
2016-02-22,12.500000,13.440000,10.890000,11.000000,9.803403,44015600
2016-02-29,11.230000,18.330000,11.190000,16.549999,14.749663,86949500
2016-03-07,17.750000,18.600000,13.280000,13.870000,12.361199,72298800
2016-03-14,13.900000,16.100000,12.810000,15.330000,13.662378,56566500
2016-03-21,15.490000,15.880000,13.680000,15.050000,13.412838,30319600
2016-03-28,15.720000,16.360001,14.440000,15.510000,13.822797,23156900
2016-04-04,15.610000,16.340000,14.460000,16.240000,14.473386,6424500
2016-04-11,16.459999,20.590000,16.450001,18.600000,16.576662,16099300
2016-04-18,18.700001,22.190001,18.559999,19.330000,17.227251,34670000
2016-04-25,19.200001,20.930000,17.350000,19.690001,17.548092,69664500
2016-05-02,20.139999,20.309999,16.170000,16.879999,15.043767,47624300
2016-05-09,16.100000,16.450001,14.600000,14.680000,13.083088,42568200
2016-05-16,14.600000,15.740000,13.950000,14.130000,12.592916,37059000
2016-05-23,13.660000,14.910000,13.660000,14.290000,12.735511,28023500
2016-05-30,14.390000,16.320000,13.800000,16.240000,14.473386,28860900
2016-06-06,16.610001,17.350000,14.820000,14.950000,13.323714,35296600
2016-06-13,14.660000,15.930000,14.420000,15.280000,13.617817,38297500
2016-06-20,15.770000,16.639999,15.100000,15.210000,13.555432,25555000
2016-06-27,15.310000,16.820000,14.610000,16.620001,14.812051,27577500
2016-07-04,16.860001,17.150000,15.510000,16.190001,14.428825,20711900
2016-07-11,16.549999,18.100000,16.469999,17.340000,15.453727,33505600
2016-07-18,17.350000,17.600000,16.400000,17.150000,15.284395,32126300
2016-07-25,17.340000,19.200001,16.940001,18.500000,16.487539,36285800
2016-08-01,18.799999,19.219999,17.650000,18.969999,16.906414,29478100
2016-08-08,19.049999,19.389999,17.770000,17.959999,16.006283,30061200
2016-08-15,18.080000,19.340000,18.010000,19.080000,17.004448,22397400
2016-08-22,18.940001,19.200001,17.549999,17.709999,15.783476,30608800
2016-08-29,17.850000,18.370001,16.840000,18.240000,16.255823,29609000
2016-09-05,18.389999,18.389999,16.860001,16.860001,15.025942,21505300
2016-09-12,16.840000,17.549999,16.160000,16.410000,14.624894,26468700
2016-09-19,16.750000,17.959999,16.379999,17.650000,15.730004,24417000
2016-09-26,17.389999,18.420000,17.100000,17.809999,15.872600,19386600
2016-10-03,17.850000,18.299999,17.559999,18.000000,16.041933,26451800
2016-10-10,18.240000,19.100000,17.700001,18.020000,16.059757,43956900
2016-10-17,18.090000,20.200001,17.980000,19.910000,17.744158,44862000
2016-10-24,20.299999,22.469999,20.020000,22.139999,19.731575,49265700
2016-10-31,22.150000,22.660000,21.440001,21.610001,19.259230,30436300
2016-11-07,22.389999,28.010000,22.200001,25.980000,23.153852,49071300
2016-11-14,25.820000,26.740000,23.719999,24.570000,21.897236,29826600
2016-11-21,24.750000,28.900000,24.650000,28.900000,25.756210,29119000
2016-11-28,29.000000,31.010000,27.450001,29.490000,26.282032,54521500
2016-12-05,29.770000,31.650000,29.129999,29.610001,26.544024,26695800
2016-12-12,29.790001,30.049999,27.340000,27.750000,24.876616,29236800
2016-12-19,27.700001,27.940001,25.180000,25.190001,22.581692,22787000
2016-12-26,25.330000,26.920000,25.139999,25.680000,23.020956,13863900
2017-01-02,25.280001,26.900000,25.049999,25.969999,23.280928,17166500
2017-01-09,26.299999,31.200001,26.270000,30.980000,27.772161,20439500
2017-01-16,31.200001,32.689999,30.350000,32.099998,28.776192,34446100
2017-01-23,32.209999,34.720001,32.189999,33.700001,30.210522,18262200
2017-01-30,33.220001,33.509998,30.389999,30.610001,27.440475,23990500
2017-02-06,30.660000,32.799999,29.870001,32.799999,29.403713,20767100
2017-02-13,34.209999,35.849998,33.389999,34.070000,30.542208,33763300
2017-02-20,35.889999,37.279999,32.000000,32.720001,29.331999,41751000
2017-02-27,32.720001,33.599998,31.350000,31.820000,28.525185,17009600
2017-03-06,31.400000,31.870001,29.070000,29.650000,26.579882,33154500
2017-03-13,30.740000,33.840000,30.290001,31.299999,28.059031,36485200
2017-03-20,31.150000,31.889999,28.290001,29.000000,25.997185,27862700
2017-03-27,27.990000,30.520000,27.250000,29.790001,26.705383,20685400
2017-04-03,29.809999,31.480000,27.930000,29.150000,26.131655,26109800
2017-04-10,29.139999,29.290001,27.280001,27.420000,24.580786,19549500
2017-04-17,27.250000,28.100000,26.150000,28.049999,25.145552,23500500
2017-04-24,27.950001,28.590000,26.420000,27.469999,24.625610,28148700
2017-05-01,27.469999,28.180000,25.059999,26.049999,24.131716,27785700
2017-05-08,26.000000,27.049999,25.430000,25.910000,24.002026,20334100
2017-05-15,26.070000,27.969999,25.000000,27.250000,25.243349,46517700
2017-05-22,27.250000,28.360001,26.920000,27.860001,25.808432,24738300
2017-05-29,27.860001,28.900000,26.389999,26.780001,24.807962,22043100
2017-06-05,26.350000,27.540001,26.219999,27.299999,25.289667,25647500
2017-06-12,27.389999,27.510000,25.400000,25.559999,23.677799,30442000
2017-06-19,25.990000,27.510000,25.520000,27.240000,25.234087,22479600
2017-06-26,27.340000,29.370001,27.299999,29.000000,26.864483,29129900
2017-07-03,29.260000,29.850000,28.430000,28.889999,26.762581,19177800
2017-07-10,28.900000,30.290001,28.620001,29.520000,27.346191,30059400
2017-07-17,29.850000,30.270000,28.320000,28.500000,26.401300,24478000
2017-07-24,28.620001,30.900000,28.500000,30.340000,28.105806,37285500
2017-07-31,31.500000,31.520000,30.540001,31.230000,28.930269,26435300
2017-08-07,31.600000,32.619999,30.559999,30.799999,28.531935,46384400
2017-08-14,30.780001,32.070000,30.540001,31.549999,29.226704,99247700
2017-08-21,31.990000,34.330002,31.600000,33.830002,31.338810,91573200
2017-08-28,33.700001,35.980000,33.650002,35.669998,33.043312,123717300
2017-09-04,35.380001,36.689999,34.470001,34.480000,31.940943,80389600
2017-09-11,34.799999,35.730000,33.299999,33.799999,31.311018,115739000
2017-09-18,33.810001,34.310001,31.850000,31.910000,29.560196,103015300
2017-09-25,31.799999,32.400002,31.000000,31.870001,29.523140,97978600
2017-10-02,32.250000,33.189999,31.760000,32.139999,29.773258,84337600
2017-10-09,32.049999,33.099998,30.730000,32.910000,30.486555,88139600
2017-10-16,33.380001,33.779999,31.709999,32.950001,30.523611,119766000
2017-10-23,33.000000,33.900002,32.029999,32.549999,30.153067,91348600
2017-10-30,32.189999,33.540001,31.840000,33.540001,31.070168,92958500
2017-11-06,33.889999,34.340000,32.500000,32.770000,30.356865,89599500
2017-11-13,32.840000,33.439999,31.940001,32.919998,30.495821,65866100
2017-11-20,32.919998,35.849998,32.919998,35.790001,33.154480,88638400
2017-11-27,35.459999,36.650002,34.889999,35.480000,32.867306,104501400
2017-12-04,35.959999,37.400002,34.900002,35.480000,32.867306,110278100
2017-12-11,35.830002,37.279999,35.220001,36.889999,34.173477,104217100
2017-12-18,37.490002,39.830002,37.340000,39.790001,36.859924,79510900
2017-12-25,39.790001,40.259998,39.020000,40.259998,37.693699,29892900
2018-01-01,40.259998,42.369999,40.259998,42.290001,39.594303,60585000
2018-01-08,42.400002,43.750000,42.400002,43.549999,40.773987,67929100
2018-01-15,43.500000,43.720001,42.299999,42.880001,40.146698,65811200
2018-01-22,43.099998,43.160000,40.709999,41.430000,38.789124,75012600
2018-01-29,41.099998,42.680000,40.750000,40.799999,38.199284,92634900
2018-02-05,40.599998,42.720001,39.930000,42.000000,39.322792,110739800
2018-02-12,42.000000,46.189999,42.000000,46.029999,43.095905,78056200
2018-02-19,46.099998,46.799999,44.709999,46.080002,43.142719,87057900
2018-02-26,46.740002,47.599998,42.740002,43.750000,40.961239,125909300
